^N225
Date,Open,High,Low,Close
2025-06-19,38858.51953125,38870.55078125,38488.33984375,38488.33984375
2025-06-20,38472.25,38646.16015625,38362.5390625,38403.23046875
2025-06-23,38260.69140625,38368.21875,38026.3203125,38354.08984375
2025-06-24,38779.1796875,38990.109375,38665.609375,38790.55859375
2025-06-25,38904.1796875,38944.76953125,38711.109375,38942.0703125
2025-06-26,39072.140625,39615.58984375,39056.140625,39584.578125
2025-06-27,39866.359375,40267.83984375,39847.30859375,40150.7890625
2025-06-30,40550.7890625,40852.5390625,40322.5390625,40487.390625
2025-07-01,40340.640625,40345.87109375,39885.37890625,39986.328125
2025-07-02,39631.171875,39943.62109375,39444.69921875,39762.48046875
2025-07-03,39796.75,39865.890625,39667.8203125,39785.8984375
2025-07-04,39994.640625,40012.66015625,39693.3984375,39810.87890625
2025-07-07,39729.55859375,39829.37890625,39524.25,39587.6796875
2025-07-08,39542.0703125,39816.26953125,39510.48046875,39688.80859375
2025-07-09,39942.80078125,39971.05859375,39573.33984375,39821.28125
2025-07-10,39795.75,39795.75,39530.94921875,39646.359375
2025-07-11,39886.5390625,39957.80078125,39497.69921875,39569.6796875
2025-07-14,39416.1015625,39608.01953125,39288.8984375,39459.62109375
2025-07-15,39525.828125,39678.01953125,39379.3203125,39678.01953125
2025-07-16,39734.73828125,39923.609375,39520.9609375,39663.3984375
2025-07-17,39492.01953125,39910.9609375,39370.4296875,39901.19140625
2025-07-18,40072.390625,40087.58984375,39745.421875,39819.109375
2025-07-22,39864.62890625,40275.890625,39586.53125,39774.921875
2025-07-23,40189.1796875,41342.58984375,40087.859375,41171.3203125
2025-07-24,41657.98046875,42065.828125,41554.1796875,41826.33984375
2025-07-25,41760.578125,41773.69921875,41389.7890625,41456.23046875
2025-07-28,41515.91015625,41534.2109375,40997.87109375,40998.26953125
2025-07-29,40767.76953125,40792.8515625,40563.53125,40674.55078125
2025-07-30,40744.53125,40744.53125,40556.609375,40654.69921875
2025-07-31,40693.0,41151.25,40639.3203125,41069.8203125
2025-08-01,41029.83984375,41064.73046875,40588.171875,40799.6015625
2025-08-04,40118.80859375,40332.25,39850.51953125,40290.69921875
